Asset ID,Dự án,Danh mục,Mô tả,Alt text đề xuất,URL trang nguồn,URL file,Kích thước,Tỷ lệ,Định dạng,Watermark,Quyền sử dụng,Chất lượng (0-10),Công năng đề xuất
hong-hac-city-amenity-015,Hồng Hạc City,amenities,Sân thể thao trường học (render),Sân thể thao trường học Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/Tien-ich-truong-hoc-04.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
hong-hac-city-amenity-016,Hồng Hạc City,amenities,Trường học (render),Trường học tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/Tien-ich-truong-hoc-05.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
hong-hac-city-amenity-017,Hồng Hạc City,amenities,Trung tâm y tế VNVC (render),Trung tâm y tế VNVC tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/tien-ich-y-te-vncc.webp,chưa xác minh (lazy-load),—,webp,chưa kiểm tra,permission-review-required,—,Amenity section
hong-hac-city-product-001,Hồng Hạc City,architecture,Biệt thự đơn lập Villa C2 (render),Biệt thự đơn lập Villa C2 — Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/sanpham/Villa-c2.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Project card; Gallery
hong-hac-city-product-002,Hồng Hạc City,architecture,Biệt thự Villa B (render),Biệt thự Villa B — Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/sanpham/Villa-B.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Gallery
hong-hac-city-product-003,Hồng Hạc City,architecture,Biệt thự Villa B2 (render),Biệt thự Villa B2 — Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/sanpham/Villa-B2.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Gallery
hong-hac-city-product-004,Hồng Hạc City,architecture,Biệt thự song lập SDA (render),Biệt thự song lập tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/sanpham/SDA-v2.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Gallery
hong-hac-city-product-005,Hồng Hạc City,architecture,Biệt thự song lập SD-B (render),Biệt thự song lập SD-B — Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/sanpham/SD-B.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Gallery
hong-hac-city-product-006,Hồng Hạc City,architecture,Nhà phố liền kề SH A2 (render),Nhà phố liền kề SH A2 — Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/sanpham/SH-A2.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Gallery
hong-hac-city-product-007,Hồng Hạc City,architecture,Nhà phố liền kề Townhouse A (render),Nhà phố liền kề Townhouse A — Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/sanpham/TH-A-v3.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Gallery
hong-hac-city-product-008,Hồng Hạc City,architecture,Nhà phố Townhouse B & D (render),Nhà phố liền kề Townhouse B và D — Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/sanpham/THB-THD-2.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Gallery
hong-hac-city-completed-001,Hồng Hạc City,completed-project,Ảnh thực tế sự kiện ra mắt nhà mẫu,Khách tham quan nhà mẫu Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/wp-content/uploads/2026/06/BXT02995-768x512.jpg,768×512 (bản thumbnail),3:2,jpg,chưa kiểm tra,permission-review-required,6,Gallery (ảnh thực tế); News
hong-hac-city-completed-002,Hồng Hạc City,completed-project,Ảnh thực tế khai trương nhà mẫu,Khai trương nhà mẫu Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/wp-content/uploads/2026/06/DSC04678-768x512.jpg,768×512 (bản thumbnail),3:2,jpg,chưa kiểm tra,permission-review-required,6,News
hong-hac-city-logo-001,Hồng Hạc City,logos,Logo dự án (SVG),Logo Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/wp-content/uploads/2025/12/logo-hong-hac-city-moi.svg,vector,—,svg,không,permission-review-required,10,Project card; Header
the-regency-logo-001,The Regency,logos,Logo dự án (SVG),Logo The Regency,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/10/logo-the-regency.svg,vector,—,svg,không,permission-review-required,10,Project card; Header
the-regency-location-001,The Regency,location,Bản đồ vị trí lô CR5-1B,Bản đồ vị trí The Regency tại Hồ Bán Nguyệt,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/10/map-the-regency-web.png,1263×803,~3:2,png,chưa kiểm tra,permission-review-required,7,Location section
the-regency-location-002,The Regency,location,Cầu Ánh Sao (ảnh thực tế),Cầu Ánh Sao cạnh The Regency,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/10/vi-tri-slide-4-1.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Location section; Gallery
the-regency-location-003,The Regency,location,Hồ Bán Nguyệt ban ngày (ảnh thực tế),Hồ Bán Nguyệt trước The Regency,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/11/ho-ban-nguyet-ban-ngay-1.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Project hero (phụ); Location section
the-regency-location-004,The Regency,location,Cultural Center (render/ảnh),Cultural Center cạnh The Regency,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/10/vi-tri-slide-3-1.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Location section
the-regency-amenity-001,The Regency,amenities,Ring of true love (render tiện ích),Tiện ích Ring of True Love tại The Regency,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/10/tien-ich-2.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Amenity section
the-regency-architecture-001,The Regency,architecture,Phối cảnh công trình (render),Phối cảnh kiến trúc The Regency — cảm hứng Cánh buồm căng gió,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/10/70638-726.webp,chưa xác minh (lazy-load),—,webp,chưa kiểm tra,permission-review-required,—,Project hero; Architecture section
the-regency-interior-001,The Regency,interior,Vật liệu cao cấp bộ 1 (render),Vật liệu cao cấp căn hộ The Regency,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/10/vat-lieu-768x432.webp,768×432 (bản thumbnail),16:9,webp,chưa kiểm tra,permission-review-required,6,Gallery
the-regency-interior-002,The Regency,interior,Vật liệu cao cấp bộ 2 (render),Nội thất vật liệu Ý tại The Regency,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/10/vat-lieu-2-768x432.webp,768×432 (bản thumbnail),16:9,webp,chưa kiểm tra,permission-review-required,6,Gallery
the-regency-floorplan-001,The Regency,floorplans,Mặt bằng tầng hầm,Mặt bằng tầng hầm The Regency,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/11/mat-bang-the-regency-tang-ham.webp,chưa xác minh,—,webp,chưa kiểm tra,permission-review-required,—,Floorplan section
the-regency-floorplan-002,The Regency,floorplans,Mặt bằng tầng tiện ích,Mặt bằng tầng tiện ích The Regency,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/11/mat-bang-the-regency-tang-tien-ich-scaled.webp,chưa xác minh,—,webp,chưa kiểm tra,permission-review-required,—,Floorplan section
the-regency-completed-001,The Regency,completed-project,Ảnh thực tế sự kiện bán hàng,Sự kiện 100% không gian sống The Regency tìm thấy chủ nhân,https://phumyhung.vn/the-regency/,https://phumyhung.vn/the-regency/wp-content/uploads/2025/12/100-khong-gian-song-the-regency-da-tim-thay-chu-nhan-768x512.jpg,768×512 (bản thumbnail),3:2,jpg,chưa kiểm tra,permission-review-required,6,News
the-sculptura-logo-001,The Sculptura,logos,Logo dự án (SVG),Logo The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/09/logo.svg,vector,—,svg,không,permission-review-required,10,Project card; Header
the-sculptura-hero-001,The Sculptura,hero,Phối cảnh ban đêm (render — og:image chính thức),Phối cảnh The Sculptura về đêm,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/phoi-canh-ban-dem-final-1024x576.webp,1024×576 (có thể có bản gốc lớn hơn),16:9,webp,chưa kiểm tra,permission-review-required,7,Project hero; Open Graph
the-sculptura-location-001,The Sculptura,location,Bản đồ vị trí lô H14-3,Bản đồ vị trí The Sculptura khu Cảnh Đồi,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/ban-do-vi-tri-mau-2-edit-1024x607.webp,929×550,~16:9,webp,chưa kiểm tra,permission-review-required,7,Location section
the-sculptura-amenity-001,The Sculptura,amenities,Công viên trước dự án (render),Công viên cạnh The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/Cong-vien-up-FULL.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Amenity section
the-sculptura-amenity-002,The Sculptura,amenities,Hồ bơi vô cực 25m (render),Hồ bơi vô cực 25m tại The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/ho-boi.webp,1920×1088,~16:9,webp,chưa kiểm tra,permission-review-required,8,Amenity section; Gallery
the-sculptura-amenity-003,The Sculptura,amenities,Hồ bơi cận cảnh (render),Hồ bơi The Sculptura nhìn cận cảnh,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/Ho-bo-vew-can-canh.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
the-sculptura-amenity-004,The Sculptura,amenities,Hồ bơi trẻ em (render),Hồ bơi trẻ em tại The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/ho-boi-tre-em.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
the-sculptura-amenity-005,The Sculptura,amenities,Khu BBQ (render),Khu BBQ tại The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/BBQ.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
the-sculptura-amenity-006,The Sculptura,amenities,Phòng gym (render),Phòng gym hiện đại tại The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/Gym.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
the-sculptura-amenity-007,The Sculptura,amenities,Phòng yoga (render),Phòng yoga tại The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/yoga.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
the-sculptura-amenity-008,The Sculptura,amenities,Phòng game (render),Phòng game tại The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/game-room.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
the-sculptura-amenity-009,The Sculptura,amenities,Phòng vui chơi trẻ em (render),Phòng vui chơi trẻ em tại The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/kiidroom.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
the-sculptura-amenity-010,The Sculptura,amenities,Sân chơi trẻ em (render),Sân chơi trẻ em tại The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/san-choi-tre-E.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
the-sculptura-floorplan-001,The Sculptura,floorplans,Mặt bằng tầng 3,Mặt bằng tầng 3 The Sculptura,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/10/tang-3.png,chưa xác minh,—,png,chưa kiểm tra,permission-review-required,—,Floorplan section
the-sculptura-completed-001,The Sculptura,completed-project,Ảnh thực tế sự kiện mở bán 09/11/2025,Sự kiện mở bán The Sculptura ngày 09/11/2025,https://phumyhung.vn/the-sculptura/,https://phumyhung.vn/the-sculptura/wp-content/uploads/2025/11/Sculptura091125-768x511.jpg,768×511 (bản thumbnail),3:2,jpg,chưa kiểm tra,permission-review-required,6,News
harmonie-logo-001,Harmonie,logos,Logo dự án (PNG),Logo Phú Mỹ Hưng Harmonie,https://phumyhung.vn/harmonie/,https://phumyhung.vn/harmonie/wp-content/uploads/2025/12/logo-harmonie.png,180×50,—,png,không,permission-review-required,7,Header
harmonie-logo-002,Harmonie,logos,Logo PMH Harmonie (footer),Logo Phú Mỹ Hưng Harmonie,https://phumyhung.vn/harmonie/,https://phumyhung.vn/harmonie/wp-content/uploads/2025/12/logo-pmh-harmonie.png,180×139,—,png,không,permission-review-required,7,Footer
harmonie-hero-001,Harmonie,hero,Phối cảnh tổng quan (render — og:image chính thức),Phối cảnh tổng quan Phú Mỹ Hưng Harmonie,https://phumyhung.vn/harmonie/,https://phumyhung.vn/harmonie/wp-content/uploads/2026/01/tong-quan-2-1024x576.webp,1024×576 (có thể có bản gốc lớn hơn),16:9,webp,chưa kiểm tra,permission-review-required,7,Project hero; Open Graph
harmonie-architecture-001,Harmonie,architecture,Cổng vào dự án (render),Cổng vào Phú Mỹ Hưng Harmonie,https://phumyhung.vn/harmonie/,https://phumyhung.vn/harmonie/wp-content/uploads/2026/01/cong-vao-edit.webp,chưa xác minh (lazy-load),—,webp,chưa kiểm tra,permission-review-required,—,Architecture section
harmonie-amenity-001,Harmonie,amenities,Đường chạy bộ trên cao (render),Đường chạy bộ trên cao tại Harmonie,https://phumyhung.vn/harmonie/,https://phumyhung.vn/harmonie/wp-content/uploads/2026/01/duong-chay-bo-tren-cao.webp,chưa xác minh (lazy-load),—,webp,chưa kiểm tra,permission-review-required,—,Amenity section
harmonie-location-001,Harmonie,location,Công viên thành phố mới 70ha (ảnh địa danh lân cận),Công viên 70 ha gần Harmonie,https://phumyhung.vn/harmonie/,https://phumyhung.vn/harmonie/wp-content/uploads/2026/01/cong-vien-thanh-pho-moi.webp,730×400,~16:9,webp,chưa kiểm tra,permission-review-required — LƯU Ý: ảnh địa danh bên thứ ba,5,Location section (chỉ minh họa POI)
harmonie-completed-001,Harmonie,completed-project,Ảnh thực tế sự kiện >500 khách,Sự kiện giới thiệu Harmonie với hơn 500 khách hàng,https://phumyhung.vn/harmonie/,https://phumyhung.vn/harmonie/wp-content/uploads/2026/05/hon-500-khach-hang-da-tham-du-su-kien-harmonie-toi-9-3-1778599934208-768x512.webp,768×512 (bản thumbnail),3:2,webp,chưa kiểm tra,permission-review-required,6,News
ded-pmh-unclassified-001,DED-PMH (thương hiệu),unclassified,KHOẢNG TRỐNG: chưa có bất kỳ tài sản hình ảnh nào cho thương hiệu DED-PMH (logo, hero tổng),—,https://dedivisionpmh.vercel.app/,—,—,—,—,cần tạo mới,—,Homepage hero; Header
ded-pmh-brand-hero-001,Phú Mỹ Hưng (thương hiệu),brand,Toàn cảnh Phu My Hung Tower và Crescent Mall - ảnh thương hiệu công ty không gắn dự án cụ thể,Toàn cảnh khu trung tâm Phú Mỹ Hưng Quận 7 TP.HCM,https://phumyhung.vn/,https://phumyhung.vn/wp-content/uploads/2022/04/phu-my-hung-tower-2.jpg,725x502,3:2,jpg (converted to webp),không,xác nhận qua phumyhung.vn - trang chủ công ty,8,Homepage Hero (brand)
